iata,type,name,municipality,iso_country,latitude,longitude,scheduled,tz
AAA,medium_airport,Anaa Airport,Anaa,PF,-17.3526,-145.5100,yes,Pacific/Tahiti
AAB,small_airport,Arrabury Airport,Tanbar,AU,-26.6964,141.0487,no,Australia/Brisbane
AAC,large_airport,El Arish International Airport,El Arish,EG,31.0553,33.8280,yes,Africa/Cairo
AAD,small_airport,Adado Airport,Adado,SO,6.0958,46.6375,no,Africa/Mogadishu
AAE,large_airport,Annaba Rabah Bitat Airport,Annaba,DZ,36.8268,7.8133,yes,Africa/Algiers
AAF,small_airport,Apalachicola Regional Airport,Apalachicola,US,29.7275,-85.0275,no,America/New_York
AAH,small_airport,Aachen-Merzbrück Airport,Aachen,DE,50.8231,6.1864,no,Europe/Berlin
AAI,small_airport,Arraias Airport,Arraias,BR,-13.0252,-46.8841,no,America/Araguaina
AAJ,small_airport,Cayana Airstrip,Awaradam,SR,3.8987,-55.5779,no,America/Paramaribo
AAK,small_airport,Aranuka Airport,Buariki,KI,0.1853,173.6370,yes,Pacific/Tarawa
AAL,large_airport,Aalborg Airport,Aalborg,DK,57.0948,9.8499,yes,Europe/Copenhagen
AAM,medium_airport,Malamala Airport,Malamala,ZA,-24.8169,31.5441,no,Africa/Johannesburg
AAN,large_airport,Al Ain International Airport,Al Ain,AE,24.2617,55.6092,yes,Asia/Dubai
AAO,medium_airport,Anaco Airport,Anaco,VE,9.4302,-64.4707,no,America/Caracas
AAP,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,-0.3745,117.2501,yes,Asia/Makassar
AAQ,medium_airport,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,45.0021,37.3473,yes,Europe/Moscow
AAR,large_airport,Aarhus Airport,Aarhus,DK,56.3033,10.6183,yes,Europe/Copenhagen
AAS,small_airport,Apalapsili Airport,Apalapsili,ID,-3.8825,139.3109,no,Asia/Jayapura
AAT,medium_airport,Altay Xuedu Airport,Altay,CN,47.7499,88.0858,yes,Asia/Shanghai
AAU,small_airport,Asau Airport,Asau,WS,-13.5051,-172.6279,no,Pacific/Apia
AAV,medium_airport,Allah Valley Airport,Surallah,PH,6.3679,124.7524,no,Asia/Manila
AAX,medium_airport,Romeu Zema Airport,Araxá,BR,-19.5632,-46.9604,yes,America/Sao_Paulo
AAY,medium_airport,Al Ghaydah International Airport,Al Ghaydah,YE,16.1933,52.1742,yes,Asia/Aden
AAZ,small_airport,Quezaltenango Airport,Quezaltenango,GT,14.8656,-91.5020,yes,America/Guatemala
ABA,large_airport,Abakan International Airport,Abakan,RU,53.7400,91.3850,yes,Asia/Krasnoyarsk
ABB,large_airport,Asaba International Airport,Asaba,NG,6.2042,6.6653,yes,Africa/Lagos
ABC,medium_airport,Albacete Airport / Los Llanos Air Base,Albacete,ES,38.9485,-1.8635,no,Europe/Madrid
ABD,large_airport,Abadan Ayatollah Jami International Airport,Abadan,IR,30.3679,48.2301,yes,Asia/Tehran
ABE,medium_airport,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.6518,-75.4428,yes,America/New_York
ABF,small_airport,Abaiang Airport,Abaiang,KI,1.7986,173.0410,no,Pacific/Tarawa
ABG,small_airport,Abingdon Downs Airport,Abingdon Downs,AU,-17.6088,143.1835,no,Australia/Brisbane
ABH,small_airport,Alpha Airport,Alpha,AU,-23.6528,146.5827,no,Australia/Brisbane
ABI,medium_airport,Abilene Regional Airport,Abilene,US,32.4113,-99.6819,yes,America/Chicago
ABJ,large_airport,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.2614,-3.9263,yes,Africa/Abidjan
ABK,medium_airport,Kebri Dahar Airport,Kebri Dahar,ET,6.7326,44.2413,yes,Africa/Addis_Ababa
ABL,medium_airport,Ambler Airport,Ambler,US,67.1055,-157.8553,yes,America/Anchorage
ABM,small_airport,Northern Peninsula Airport,Bamaga,AU,-10.9462,142.4551,yes,Australia/Brisbane
